candidate_project_id,canonical_project_id,entity_granularity,developer,offtaker,site_or_portfolio_id,mapping_status,source_id,notes
EU-GY-ALTAREA-BOLLENE-ROOF,EU-GY-ALTAREA-BOLLENE-ROOF,ASSET_SITE,GreenYellow,Altarea,Bollene,RECONCILED_V5_1,GY-EU-ALTAREA,Canonical site identity resolved.
EU-GY-ALTAREA-PUCEUL,EU-GY-ALTAREA-PUCEUL,ASSET_SITE,GreenYellow,Altarea,Puceul,RECONCILED_V5_1,GY-EU-ALTAREA,Canonical site identity resolved.
EU-GY-FRUEHAUF-AUXERRE,EU-GY-FRUEHAUF-AUXERRE,ASSET_SITE,GreenYellow,Fruehauf,Auxerre,RECONCILED_V5_1,GY-EU-FRUEHAUF,Canonical site identity resolved.
EU-GY-PANATTONI-MOISSY,EU-GY-PANATTONI-MOISSY,ASSET_SITE,GreenYellow,Panattoni,Moissy Cramayel,RECONCILED_V5_1,GY-EU-PANATTONI,Canonical site identity resolved.
EU-GY-SAFRAN-EVRY,EU-GY-SAFRAN-EVRY,ASSET_SITE,GreenYellow,Safran,Evry Corbeil,RECONCILED_V5_1,GY-EU-SAFRAN,Canonical site identity resolved.
EU-GY-STELLANTIS-CAEN,EU-GY-STELLANTIS-CAEN,ASSET_SITE,GreenYellow,Stellantis,Caen,RECONCILED_V5_1,GY-EU-STELLANTIS,Canonical site identity resolved.
EU-GY-STELLANTIS-CHARLEVILLE,EU-GY-STELLANTIS-CHARLEVILLE,ASSET_SITE,GreenYellow,Stellantis,Charleville,RECONCILED_V5_1,GY-EU-STELLANTIS,Canonical site identity resolved.
EU-GY-STELLANTIS-VALENCIENNES,EU-GY-STELLANTIS-VALENCIENNES,ASSET_SITE,GreenYellow,Stellantis,Valenciennes,RECONCILED_V5_1,GY-EU-STELLANTIS,Canonical site identity resolved.
EU-GY-GIVA-CELLA,EU-GY-GIVA-CELLA,ASSET_SITE,GreenYellow,GIVA,Cella Dati Lombardy,RECONCILED_V5_1,GY-EU-GIVA,Canonical site identity resolved.
EU-GY-GIVA-VISANO,EU-GY-GIVA-VISANO,ASSET_SITE,GreenYellow,GIVA,Visano Lombardy,RECONCILED_V5_1,GY-EU-GIVA,Canonical site identity resolved.
EU-GY-SASOL-ITALY,EU-GY-SASOL-ITALY,ASSET_SITE,GreenYellow,Sasol,Terranova dei Passerini,RECONCILED_V5_1,GY-EU-SASOL,Canonical site identity resolved.
EU-GY-STELLANTIS-SLOVAKIA,EU-GY-STELLANTIS-SLOVAKIA,ASSET_SITE,GreenYellow,Stellantis,Slovakia,RECONCILED_V5_1,GY-EU-STELLANTIS,Canonical site identity resolved.
IN-AZURE-GANDHINAGAR,IN-AZURE-GANDHINAGAR,ASSET_SITE,Azure Sun Energy,Torrent Power,Gandhinagar,RECONCILED_V5_1,IFC-32148,Canonical site identity resolved.
IN-CLEANMAX-TN-30MW,IN-CLEANMAX-TN-30MW,ASSET_SITE,Clean Max,Tata Communications,Tamil Nadu,RECONCILED_V5_1,IFC-38331,Canonical site identity resolved.
IN-FPEL-ARISUDHANA,IN-FPEL-ARISUDHANA,ASSET_SITE,Fourth Partner Energy,Arisudhana,Ludhiana Punjab,RECONCILED_V5_1,FPEL-ARISUDHANA,Canonical site identity resolved.
IN-CLEANTECH-EXIDE-HALDIA,IN-CLEANTECH-EXIDE-HALDIA,ASSET_SITE,Cleantech Solar,Exide Chloride Metals,Haldia,RECONCILED_V5_1,CLEANTECH-HALDIA,Canonical site identity resolved.
VN-GY-GOMALL,VN-GY-GOMALL,MULTISITE_PORTFOLIO,GreenYellow,GO Mall,10 Vietnam malls,RECONCILED_V5_1,GY-VN-GOMALL,Aggregate facts remain portfolio facts.
VN-GY-LOTTEMART,VN-GY-LOTTEMART,MULTISITE_PORTFOLIO,GreenYellow,LOTTE Mart,Multiple stores,RECONCILED_V5_1,GY-VN-LOTTEMART,Aggregate facts remain portfolio facts.
EU-GY-PTP-CADIZ,EU-GY-PTP-CADIZ,ASSET_SITE,GreenYellow,PTP Iberica,Cadiz,RECONCILED_V5_1,GY-EU-PTP,Canonical site identity resolved.
EU-GY-CMC-ANDRYCHOW,EU-GY-CMC-ANDRYCHOW,ASSET_SITE,GreenYellow,CMC,Andrychow,RECONCILED_V5_1,GY-EU-CMC,Canonical site identity resolved.
