project_id,construction_month,construction_share,currency,source_or_assumption_id
VG-001,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-001,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-002,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-003,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-004,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-005,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-006,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-007,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-008,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-009,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-010,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-011,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-012,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
