project_id,component,component_uncertainty_pct,correlation_bucket,source_or_assumption_id
VG-001,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-001,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-001,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-001,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-002,resource,0.05780060,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-002,availability,0.03082699,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-002,degradation,0.01926687,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-002,clipping,0.01541349,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-003,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-003,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-003,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-003,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-004,resource,0.07431505,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-004,availability,0.03963470,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-004,degradation,0.02477168,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-004,clipping,0.01981735,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-005,resource,0.05780060,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-005,availability,0.03082699,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-005,degradation,0.01926687,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-005,clipping,0.01541349,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-006,resource,0.07431505,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-006,availability,0.03963470,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-006,degradation,0.02477168,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-006,clipping,0.01981735,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-007,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-007,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-007,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-007,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-008,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-008,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
