project_id,ppa_tenor_years,ppa_start,ppa_end,pricing_type,ppa_price_base_vnd_kwh,escalation_pct,payment_days,excess_energy_treatment,security_support,termination_formula,transfer_removal_renewal_branch,source_or_assumption_id
VG-001,15,2027-04-01,2042-03-31,fixed_plus_escalation,2325,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-002,18,2027-04-01,2042-03-31,fixed_plus_escalation,2360,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-003,15,2027-04-01,2042-03-31,fixed_plus_escalation,2340,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-004,20,2027-04-01,2042-03-31,fixed_plus_escalation,2290,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-005,15,2027-04-01,2042-03-31,fixed_plus_escalation,2430,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-006,15,2027-04-01,2042-03-31,fixed_plus_escalation,2370,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-007,15,2027-04-01,2042-03-31,fixed_plus_escalation,2390,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-008,15,2027-04-01,2042-03-31,fixed_plus_escalation,2380,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-009,15,2027-04-01,2042-03-31,fixed_plus_escalation,2400,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-010,15,2027-04-01,2042-03-31,fixed_plus_escalation,2450,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-011,15,2027-04-01,2042-03-31,fixed_plus_escalation,2460,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-012,15,2027-04-01,2042-03-31,fixed_plus_escalation,2430,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-013,15,2027-04-01,2042-03-31,fixed_plus_escalation,2425,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-014,15,2027-04-01,2042-03-31,fixed_plus_escalation,2415,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-015,15,2027-04-01,2042-03-31,fixed_plus_escalation,2420,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-016,8,2027-04-01,2042-03-31,fixed_plus_escalation,2400,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-017,15,2027-04-01,2042-03-31,fixed_plus_escalation,2310,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-018,15,2027-04-01,2042-03-31,fixed_plus_escalation,2335,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-019,15,2027-04-01,2042-03-31,fixed_plus_escalation,2315,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
VG-020,15,2027-04-01,2042-03-31,fixed_plus_escalation,2420,0.01,30,excess_zero_value,standard_or_parent_support,debt_outstanding_plus_break_costs,removal_or_transfer,ASM-PPA-TENOR
