site_id,project_id,roof_right_expiry,roof_condition_grade,structural_review_status,relocation_risk,facility_closure_risk,roof_replacement_risk,fire_safety_status,insurance_status,site_continuity_grade,hard_gate_status
SITE-001,VG-001,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-002,VG-002,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,A,PASS
SITE-003,VG-003,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-004,VG-004,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,C,PASS
SITE-005,VG-005,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-006,VG-006,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-007,VG-007,2045-01-01,C,COMPLETE,HIGH,HIGH,LOW,PASS,PASS,D,HOLD
SITE-008,VG-008,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,C,PASS
SITE-009,VG-009,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-010,VG-010,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,A,PASS
SITE-011,VG-011,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-012,VG-012,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-013,VG-013,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-014,VG-014,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-015,VG-015,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-016,VG-016,2045-01-01,B,COMPLETE,LOW,LOW,HIGH,PASS,PASS,C,PASS
SITE-017,VG-017,2045-01-01,B,PENDING,LOW,LOW,LOW,PASS,PASS,B,HOLD
SITE-018,VG-018,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-019,VG-019,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
SITE-020,VG-020,2045-01-01,B,COMPLETE,LOW,LOW,LOW,PASS,PASS,B,PASS
