source_id,source_title,issuer,source_type,source_tier,url,publication_date,legal_effective_from,billing_effective_from,country,raw_unit,raw_currency,classification,benchmark_role,raw_snapshot_path,transformation_script,model_destination,recheck_before_release,owner,reviewer,status,notes
SRC-REG-243,Decree 243/2026/ND-CP,Government of Viet Nam,Government regulation,A1,https://vanban.chinhphu.vn/?classid=1&docid=218605&pageid=27160,2026-06-26,2026-06-26,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,regulatory_register,TRUE,VietGreen,Internal reviewer,LOCKED,Official portal verified.
SRC-TAR-963,Decision 963/QD-BCT,MOIT,Tariff framework,A1,https://moit.gov.vn/van-ban-phap-luat/quyet-dinh-ve-khung-gio-cao-diem-thap-diem-va-gio-binh-thuong-cua-he-thong-dien-quoc-gia.html,2026-04-22,2026-04-22,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tariff_master,TRUE,VietGreen,Internal reviewer,WATCH,Official page rechecked 2026-08-31; keep billing_effective_from blank because billed implementation remains conditional.
SRC-TAX-067,Law 67/2025/QH15,National Assembly of Viet Nam,Tax law,A1,https://vanban.chinhphu.vn/?docid=214607&pageid=27160,2025-06-14,2026-10-01,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tax_register,TRUE,VietGreen,Internal reviewer,LOCKED,No incentive assumed.
SRC-TAX-320,Decree 320/2025/ND-CP,Government of Viet Nam,Tax regulation,A1,https://vanban.chinhphu.vn/?classid=0&docid=216219&pageid=27160,2025-12-15,2025-12-15,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tax_register,TRUE,VietGreen,Internal reviewer,LOCKED,
SRC-TAX-141,Decree 141/2026/ND-CP,Government of Viet Nam,Tax amendment,A1,https://vanban.chinhphu.vn/?classid=0&docid=217960&pageid=27160,2026-07-01,2026-07-01,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tax_register,TRUE,VietGreen,Internal reviewer,LOCKED,
SRC-TAX-020,Circular 20/2026/TT-BTC,Ministry of Finance,Tax guidance,A1,https://vanban.chinhphu.vn/?docid=217191&pageid=27160,2026-06-01,2026-06-01,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tax_register,TRUE,VietGreen,Internal reviewer,LOCKED,
SRC-FX-008,Circular 08/2023/TT-NHNN,State Bank of Viet Nam,Foreign borrowing,A1,https://vanban.chinhphu.vn/?docid=208258&pageid=27160,2023-08-15,2023-08-15,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,foreign_borrowing,TRUE,VietGreen,Internal reviewer,LOCKED,
SRC-FX-019,Circular 19/2024/TT-NHNN,State Bank of Viet Nam,Foreign borrowing amendment,A1,https://vanban.chinhphu.vn/?classid=1&docid=210566&pageid=27160,2024-06-28,2024-08-15,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,foreign_borrowing,TRUE,VietGreen,Internal reviewer,LOCKED,
SRC-SOLAR-GSA,Global Solar Atlas methodology / PVOUT,World Bank / Solargis,Solar methodology,A2,https://www.globalsolaratlas.info/support/methodology,,,,Global,kWh/kWp,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,energy_yield,TRUE,VietGreen,Internal reviewer,REVIEWED,PVOUT is modeled output; no extra generic PR.
SRC-SOLAR-NREL,NREL Commercial PV ATB 2024,NREL,Technical benchmark,A3,https://atb.nrel.gov/electricity/2024/commercial_pv,2024-01-01,,,United States,%/year,,OBSERVED,COMPARATOR_ONLY,NOT_STORED_LOCAL,,energy_yield,TRUE,VietGreen,Internal reviewer,REVIEWED,0.7% baseline / 0.5% moderate context.
SRC-SOIL-IEA,Soiling losses in PV systems,IEA PVPS,Technical benchmark,A3,https://iea-pvps.org/fact-sheets/fs-soiling-losses/,,,,Global,%,,OBSERVED,SANITY_BENCHMARK,NOT_STORED_LOCAL,,external_validation,TRUE,VietGreen,Internal reviewer,REVIEWED,Global context only.
SRC-ADB-56245,GreenYellow Smart Solutions Rooftop Solar Project,ADB,Transaction comparable,B1,https://www.adb.org/projects/56245-001/main,2023-07-17,,,Viet Nam,32.3 MWp,,OBSERVED,N/A_CONTEXT,NOT_STORED_LOCAL,,external_validation,TRUE,VietGreen,Internal reviewer,REVIEWED,Scale/structure precedent only.
SRC-ADB-NEWS,ADB GreenYellow financing news,ADB,Transaction comparable,B1,https://www.adb.org/news/adb-greenyellow-sign-deal-commercial-and-industrial-rooftop-solar-viet-nam,2023-09-11,,,Viet Nam,USD 13.8m,,OBSERVED,N/A_CONTEXT,NOT_STORED_LOCAL,,external_validation,TRUE,VietGreen,Internal reviewer,REVIEWED,No term reverse-engineering.
SRC-FMO-62172,GreenYellow Smart Solutions Vietnam Co Ltd,FMO,Transaction/E&S comparable,B1,https://www.fmo.nl/project-detail/62172,2023-03-27,2023-08-07,,Viet Nam,up to 32.4 MWp / USD 4.49m,,OBSERVED,N/A_CONTEXT,NOT_STORED_LOCAL,,external_validation,TRUE,VietGreen,Internal reviewer,REVIEWED,E&S B and SPV architecture context.
SRC-RESP-CME,CME Solar financing,responsAbility,Transaction comparable,B2,https://www.responsability.com/en/press-releases/cme-solar-secures-usd-20-million-investment-from-responsability-climate-funds,2023-08-22,,,Viet Nam,USD 20m,,OBSERVED,N/A_CONTEXT,NOT_STORED_LOCAL,,external_validation,TRUE,VietGreen,Internal reviewer,REVIEWED,Public precedent only.
SRC-IRENA-2024,Renewable Power Generation Costs in 2024,IRENA,Cost benchmark,A3,https://www.irena.org/Digital-Report/Renewable-Power-Generation-Costs-in-2024,2025-07-01,,,Global,USD 691/kW,,OBSERVED,SANITY_BENCHMARK,NOT_STORED_LOCAL,,external_validation,TRUE,VietGreen,Internal reviewer,REVIEWED,Utility-scale context only.
SRC-REFRESH-TAR-20260831,MOIT tariff implementation status recheck,MOIT,Tariff implementation status,A1,https://moit.gov.vn/tin-tuc/bo-cong-thuong-lay-y-kien-hoan-thien-du-thao-thong-tu-so-60-2025-tt-bct-de-som-ap-dung-khung-gio-cao-diem-thap-diem-moi.html,2026-05-27,2026-05-27,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tariff_master,TRUE,VietGreen,Internal reviewer,WATCH,MOIT indicates billed application needs the related Circular 60 implementation check.
SRC-TAR-60,Circular 60/2025/TT-BCT on electricity pricing implementation,MOIT,Tariff implementation regulation,A1,https://vanban.chinhphu.vn/?classid=1&docid=216125&pageid=27160&typegroupid=6,2025-12-02,2025-12-02,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tariff_master,TRUE,VietGreen,Internal reviewer,LOCKED,Controlling implementation rule; billing effective date remains separately controlled.
SRC-REFRESH-EVN-20260831,EVN/Cục Điện lực notice on timing of Decision 963 implementation,EVN / Electricity Authority,Tariff implementation status,A1,https://evn.com.vn/d/vi-VN/news-d/Cuc-Dien-luc-thong-tin-ve-thoi-gian-ap-dung-khung-gio-cao-diem-thap-diem-va-gio-binh-thuong-cua-he-thong-dien-quoc-gia-60-2025-507824,2026-04-24,2026-04-24,,Viet Nam,,,OBSERVED,DIRECT_EVIDENCE,NOT_STORED_LOCAL,,tariff_master,TRUE,VietGreen,Internal reviewer,WATCH,Notice links application to the retail-price-adjustment condition in Circular 60; billed implementation must be confirmed.
