project_id,year,opening,interest,principal,debt_service,closing,dscr
VG-001,1,8652513842.19178,735463676.586301,762086796.100738,1497550472.687039,7890427046.091043,1.3
VG-001,2,7890427046.091043,670686298.917739,826864173.7693,1497550472.687039,7063562872.321742,1.3
VG-001,3,7063562872.321742,600402844.147348,897147628.539691,1497550472.687039,6166415243.782051,1.3
VG-001,4,6166415243.782051,524145295.721474,973405176.965564,1497550472.687039,5193010066.816486,1.3
VG-001,5,5193010066.816486,441405855.679401,1056144617.007638,1497550472.687039,4136865449.808849,1.3
VG-001,6,4136865449.808849,351633563.233752,1145916909.453287,1497550472.687039,2990948540.355562,1.3
VG-001,7,2990948540.355562,254230625.930223,1243319846.756816,1497550472.687039,1747628693.598746,1.3
VG-001,8,1747628693.598746,148548438.955893,1349002033.731145,1497550472.687039,398626659.867601,1.3
VG-001,9,398626659.867601,33883266.088746,398626659.867601,432509925.956347,0,4.501204
VG-001,10,0,0,0,0,0,NaN
VG-002,1,10151953600.087669,862916056.007452,894152836.315414,1757068892.322866,9257800763.772255,1.3
VG-002,2,9257800763.772255,786913064.920642,970155827.402224,1757068892.322866,8287644936.37003,1.3
VG-002,3,8287644936.37003,704449819.591453,1052619072.731413,1757068892.322866,7235025863.638617,1.3
VG-002,4,7235025863.638617,614977198.409282,1142091693.913584,1757068892.322866,6092934169.725033,1.3
VG-002,5,6092934169.725033,517899404.426628,1239169487.896238,1757068892.322866,4853764681.828794,1.3
VG-002,6,4853764681.828794,412569997.955448,1344498894.367418,1757068892.322866,3509265787.461376,1.3
VG-002,7,3509265787.461376,298287591.934217,1458781300.388649,1757068892.322866,2050484487.072727,1.3
VG-002,8,2050484487.072727,174291181.401182,1582777710.921684,1757068892.322866,467706776.151043,1.3
VG-002,9,467706776.151043,39755075.972839,467706776.151043,507461852.123882,0,4.501204
VG-002,10,0,0,0,0,0,NaN
VG-003,1,7072441935.72822,601157564.536899,622918924.339139,1224076488.876038,6449523011.389081,1.3
VG-003,2,6449523011.389081,548209455.968072,675867032.907966,1224076488.876038,5773655978.481115,1.3
VG-003,3,5773655978.481115,490760758.170895,733315730.705143,1224076488.876038,5040340247.775972,1.3
VG-003,4,5040340247.775972,428428921.060958,795647567.81508,1224076488.876038,4244692679.960892,1.3
VG-003,5,4244692679.960892,360798877.796676,863277611.079362,1224076488.876038,3381415068.88153,1.3
VG-003,6,3381415068.88153,287420280.85493,936656208.021108,1224076488.876038,2444758860.860423,1.3
VG-003,7,2444758860.860423,207804503.173136,1016271985.702902,1224076488.876038,1428486875.157521,1.3
VG-003,8,1428486875.157521,121421384.388389,1102655104.487648,1224076488.876038,325831770.669872,1.3
VG-003,9,325831770.669872,27695700.506939,325831770.669872,353527471.176811,0,4.501204
VG-003,10,0,0,0,0,0,24606059309413228
VG-004,1,9124439988.836531,775577399.051105,803652599.016756,1579229998.067861,8320787389.819775,1.3
VG-004,2,8320787389.819775,707266928.134681,871963069.93318,1579229998.067861,7448824319.886594,1.3
VG-004,3,7448824319.886594,633150067.190361,946079930.877501,1579229998.067861,6502744389.009093,1.3
VG-004,4,6502744389.009093,552733273.065773,1026496725.002088,1579229998.067861,5476247664.007005,1.3
VG-004,5,5476247664.007005,465481051.440595,1113748946.627266,1579229998.067861,4362498717.379739,1.3
VG-004,6,4362498717.379739,370812390.977278,1208417607.090584,1579229998.067861,3154081110.289155,1.3
VG-004,7,3154081110.289155,268096894.374578,1311133103.693283,1579229998.067861,1842948006.595872,1.3
VG-004,8,1842948006.595872,156650580.560649,1422579417.507212,1579229998.067861,420368589.08866,1.3
VG-004,9,420368589.08866,35731330.072536,420368589.08866,456099919.161196,0,4.501204
VG-004,10,0,0,0,0,0,NaN
VG-005,1,10001230287.652237,850104574.45044,880877590.72014,1730982165.17058,9120352696.932098,1.3
VG-005,2,9120352696.932098,775229979.239228,955752185.931351,1730982165.17058,8164600511.000747,1.3
VG-005,3,8164600511.000747,693991043.435063,1036991121.735516,1730982165.17058,7127609389.26523,1.3
VG-005,4,7127609389.26523,605846798.087545,1125135367.083035,1730982165.170579,6002474022.182196,1.3
VG-005,5,6002474022.182196,510210291.885487,1220771873.285093,1730982165.17058,4781702148.897102,1.3
VG-005,6,4781702148.897102,406444682.656254,1324537482.514326,1730982165.17058,3457164666.382776,1.3
VG-005,7,3457164666.382776,293858996.642536,1437123168.528044,1730982165.17058,2020041497.854733,1.3
VG-005,8,2020041497.854733,171703527.317652,1559278637.852927,1730982165.17058,460762860.001805,1.3
VG-005,9,460762860.001805,39164843.100153,460762860.001805,499927703.101958,0,4.501204
VG-005,10,0,0,0,0,0,34795742101731652
VG-006,1,8620465073.633606,732739531.258857,759264039.177729,1492003570.436586,7861201034.455876,1.3
VG-006,2,7861201034.455876,668202087.92875,823801482.507836,1492003570.436586,7037399551.94804,1.3
VG-006,3,7037399551.94804,598178961.915583,893824608.521002,1492003570.436586,6143574943.427037,1.3
VG-006,4,6143574943.427037,522203870.191298,969799700.245288,1492003570.436586,5173775243.181749,1.3
VG-006,5,5173775243.181749,439770895.670449,1052232674.766137,1492003570.436586,4121542568.415612,1.3
VG-006,6,4121542568.415612,350331118.315327,1141672452.121259,1492003570.436586,2979870116.294353,1.3
VG-006,7,2979870116.294353,253288959.88502,1238714610.551566,1492003570.436586,1741155505.742788,1.3
VG-006,8,1741155505.742788,147998217.988137,1344005352.448449,1492003570.436586,397150153.294339,1.3
VG-006,9,397150153.294339,33757763.030019,397150153.294339,430907916.324357,0,4.501204
VG-006,10,0,0,0,0,0,29991858088646600
VG-007,1,9826937486.61187,835289686.362009,865526417.090045,1700816103.452055,8961411069.521824,1.3
VG-007,2,8961411069.521824,761719940.909355,939096162.542699,1700816103.452055,8022314906.979124,1.3
VG-007,3,8022314906.979124,681896767.093226,1018919336.358829,1700816103.452055,7003395570.620296,1.3
VG-007,4,7003395570.620296,595288623.502725,1105527479.949329,1700816103.452055,5897868090.670966,1.3
VG-007,5,5897868090.670966,501318787.707032,1199497315.745022,1700816103.452055,4698370774.925943,1.3
VG-007,6,4698370774.925943,399361515.868705,1301454587.583349,1700816103.452055,3396916187.342594,1.3
VG-007,7,3396916187.342594,288737875.924121,1412078227.527934,1700816103.452055,1984837959.81466,1.3
VG-007,8,1984837959.81466,168711226.584246,1532104876.867808,1700816103.452055,452733082.946852,1.3
VG-007,9,452733082.946852,38482312.050482,452733082.946852,491215394.997334,0,4.501204
VG-007,10,0,0,0,0,0,NaN
VG-008,1,9176133190.502281,779971321.192694,808205577.163471,1588176898.356164,8367927613.338811,1.3
VG-008,2,8367927613.338811,711273847.133799,876903051.222365,1588176898.356164,7491024562.116446,1.3
VG-008,3,7491024562.116446,636737087.779898,951439810.576267,1588176898.356164,6539584751.540179,1.3
VG-008,4,6539584751.540179,555864703.880915,1032312194.475249,1588176898.356164,5507272557.06493,1.3
VG-008,5,5507272557.06493,468118167.350519,1120058731.005645,1588176898.356164,4387213826.059284,1.3
VG-008,6,4387213826.059284,372913175.215039,1215263723.141125,1588176898.356164,3171950102.918159,1.3
VG-008,7,3171950102.918159,269615758.748044,1318561139.608121,1588176898.356164,1853388963.310038,1.3
VG-008,8,1853388963.310038,157538061.881353,1430638836.474811,1588176898.356164,422750126.835227,1.3
VG-008,9,422750126.835227,35933760.780994,422750126.835227,458683887.616221,0,4.501204
VG-008,10,0,0,0,0,0,NaN
VG-009,1,9673534158.042006,822250403.433571,852015123.919854,1674265527.353424,8821519034.122152,1.3
VG-009,2,8821519034.122152,749829117.900383,924436409.453041,1674265527.353424,7897082624.669111,1.3
VG-009,3,7897082624.669111,671252023.096874,1003013504.25655,1674265527.353424,6894069120.412561,1.3
VG-009,4,6894069120.412561,585995875.235068,1088269652.118357,1674265527.353425,5805799468.294205,1.3
VG-009,5,5805799468.294205,493492954.805007,1180772572.548417,1674265527.353424,4625026895.745788,1.3
VG-009,6,4625026895.745788,393127286.138392,1281138241.215032,1674265527.353424,3343888654.530755,1.3
VG-009,7,3343888654.530755,284230535.635114,1390034991.71831,1674265527.353424,1953853662.812445,1.3
VG-009,8,1953853662.812445,166077561.339058,1508187966.014366,1674265527.353424,445665696.798079,1.3
VG-009,9,445665696.798079,37881584.227837,445665696.798079,483547281.025915,0,4.501204
VG-009,10,0,0,0,0,0,NaN
VG-010,1,9836673614.233912,836117257.209882,866383945.253679,1702501202.463562,8970289668.980232,1.3
VG-010,2,8970289668.980232,762474621.86332,940026580.600242,1702501202.463562,8030263088.379991,1.3
VG-010,3,8030263088.379991,682572362.512299,1019928839.951262,1702501202.463562,7010334248.428728,1.3
VG-010,4,7010334248.428728,595878411.116442,1106622791.34712,1702501202.463562,5903711457.081608,1.3
VG-010,5,5903711457.081608,501815473.851937,1200685728.611625,1702501202.463562,4703025728.469982,1.3
VG-010,6,4703025728.469982,399757186.919949,1302744015.543613,1702501202.463562,3400281712.926369,1.3
VG-010,7,3400281712.926369,289023945.598741,1413477256.86482,1702501202.463562,1986804456.061548,1.3
VG-010,8,1986804456.061548,168878378.765232,1533622823.69833,1702501202.463562,453181632.363218,1.3
VG-010,9,453181632.363218,38520438.750874,453181632.363218,491702071.114092,0,4.501204
VG-010,10,0,0,0,0,0,NaN
VG-011,1,9304294821.277807,790865059.808614,819493659.258699,1610358719.067313,8484801162.019108,1.3
VG-011,2,8484801162.019108,721208098.771624,889150620.295689,1610358719.067313,7595650541.723419,1.3
VG-011,3,7595650541.723419,645630296.046491,964728423.020822,1610358719.067313,6630922118.702597,1.3
VG-011,4,6630922118.702597,563628380.089721,1046730338.977592,1610358719.067313,5584191779.725004,1.3
VG-011,5,5584191779.725004,474656301.276625,1135702417.790687,1610358719.067313,4448489361.934317,1.3
VG-011,6,4448489361.934317,378121595.764417,1232237123.302896,1610358719.067313,3216252238.631421,1.3
VG-011,7,3216252238.631421,273381440.283671,1336977278.783642,1610358719.067313,1879274959.847779,1.3
VG-011,8,1879274959.847779,159738371.587061,1450620347.480252,1610358719.067313,428654612.367528,1.3
VG-011,9,428654612.367528,36435642.05124,428654612.367528,465090254.418768,0,4.501204
VG-011,10,0,0,0,0,0,NaN
VG-012,1,8278476567.378994,703670508.227215,729142743.81915,1432813252.046365,7549333823.559844,1.3
VG-012,2,7549333823.559844,641693375.002587,791119877.043778,1432813252.046365,6758213946.516067,1.3
VG-012,3,6758213946.516067,574448185.453866,858365066.592499,1432813252.046365,5899848879.923568,1.3
VG-012,4,5899848879.923568,501487154.793503,931326097.252861,1432813252.046365,4968522782.670707,1.3
VG-012,5,4968522782.670707,422324436.52701,1010488815.519354,1432813252.046365,3958033967.151352,1.3
VG-012,6,3958033967.151352,336432887.207865,1096380364.8385,1432813252.046365,2861653602.312853,1.3
VG-012,7,2861653602.312853,243240556.196593,1189572695.849772,1432813252.046365,1672080906.463081,1.3
VG-012,8,1672080906.463081,142126877.049362,1290686374.997003,1432813252.046365,381394531.466078,1.3
VG-012,9,381394531.466078,32418535.174617,381394531.466078,413813066.640695,0,4.501204
VG-012,10,0,0,0,0,0,NaN
VG-013,1,7463282426.545023,634379006.256327,657342952.184158,1291721958.440485,6805939474.360866,1.3
VG-013,2,6805939474.360866,578504855.320674,713217103.119811,1291721958.440485,6092722371.241055,1.3
VG-013,3,6092722371.241055,517881401.55549,773840556.884995,1291721958.440485,5318881814.356059,1.3
VG-013,4,5318881814.356059,452104954.220265,839617004.22022,1291721958.440485,4479264810.135839,1.3
VG-013,5,4479264810.135839,380737508.861546,910984449.578938,1291721958.440485,3568280360.556901,1.3
VG-013,6,3568280360.556901,303303830.647337,988418127.793148,1291721958.440485,2579862232.763753,1.3
VG-013,7,2579862232.763753,219288289.784919,1072433668.655566,1291721958.440485,1507428564.108187,1.3
VG-013,8,1507428564.108187,128131427.949196,1163590530.491289,1291721958.440485,343838033.616898,1.3
VG-013,9,343838033.616898,29226232.857436,343838033.616898,373064266.474335,0,4.501204
VG-013,10,0,0,0,0,0,NaN
VG-014,1,8659709804.410961,736075333.374932,762720594.311581,1498795927.686512,7896989210.09938,1.3
VG-014,2,7896989210.09938,671244082.858447,827551844.828065,1498795927.686512,7069437365.271316,1.3
VG-014,3,7069437365.271316,600902176.048062,897893751.638451,1498795927.686512,6171543613.632865,1.3
VG-014,4,6171543613.632865,524581207.158794,974214720.527719,1498795927.686512,5197328893.105146,1.3
VG-014,5,5197328893.105146,441772955.913937,1057022971.772575,1498795927.686512,4140305921.332572,1.3
VG-014,6,4140305921.332572,351926003.313269,1146869924.373244,1498795927.686512,2993435996.959328,1.3
VG-014,7,2993435996.959328,254442059.741543,1244353867.94497,1498795927.686512,1749082129.014358,1.3
VG-014,8,1749082129.014358,148671980.96622,1350123946.720292,1498795927.686512,398958182.294066,1.3
VG-014,9,398958182.294066,33911445.494996,398958182.294066,432869627.789062,0,4.501204
VG-014,10,0,0,0,0,0,NaN
VG-015,1,8421102657.355982,715793725.875259,741704810.974815,1457498536.850074,7679397846.381166,1.3
VG-015,2,7679397846.381166,652748816.942399,804749719.907675,1457498536.850074,6874648126.473492,1.3
VG-015,3,6874648126.473492,584345090.750247,873153446.099827,1457498536.850074,6001494680.373665,1.3
VG-015,4,6001494680.373665,510127047.831762,947371489.018312,1457498536.850074,5054123191.355352,1.3
VG-015,5,5054123191.355352,429600471.265205,1027898065.584869,1457498536.850074,4026225125.770483,1.3
VG-015,6,4026225125.770483,342229135.690491,1115269401.159583,1457498536.850074,2910955724.610901,1.3
VG-015,7,2910955724.610901,247431236.591927,1210067300.258147,1457498536.850074,1700888424.352754,1.3
VG-015,8,1700888424.352754,144575516.069984,1312923020.78009,1457498536.850074,387965403.572664,1.3
VG-015,9,387965403.572664,32977059.303676,387965403.572664,420942462.87634,0,4.501204
VG-015,10,0,0,0,0,0,NaN
VG-016,1,7441180121.570776,632500310.333516,655396249.169118,1287896559.502634,6785783872.401658,1.3
VG-016,2,6785783872.401658,576791629.154141,711104930.348493,1287896559.502634,6074678942.053164,1.3
VG-016,3,6074678942.053164,516347710.074519,771548849.428115,1287896559.502634,5303130092.62505,1.3
VG-016,4,5303130092.62505,450766057.873129,837130501.629505,1287896559.502634,4465999590.995544,1.3
VG-016,5,4465999590.995544,379609965.234621,908286594.268013,1287896559.502634,3557712996.727531,1.3
VG-016,6,3557712996.727531,302405604.72184,985490954.780794,1287896559.502634,2572222041.946737,1.3
VG-016,7,2572222041.946737,218638873.565473,1069257685.937162,1287896559.502634,1502964356.009576,1.3
VG-016,8,1502964356.009576,127751970.260814,1160144589.24182,1287896559.502634,342819766.767756,1.3
VG-016,9,342819766.767756,29139680.175259,342819766.767756,371959446.943015,0,4.501204
VG-016,10,0,0,0,0,0,NaN
VG-017,1,7973318131.375343,677732041.166904,702265327.724982,1379997368.891886,7271052803.650361,1.3
VG-017,2,7271052803.650361,618039488.310281,761957880.581606,1379997368.891886,6509094923.068755,1.3
VG-017,3,6509094923.068755,553273068.460844,826724300.431042,1379997368.891886,5682370622.637713,1.3
VG-017,4,5682370622.637713,483001502.924206,896995865.967681,1379997368.891886,4785374756.670033,1.3
VG-017,5,4785374756.670033,406756854.316953,973240514.574934,1379997368.891886,3812134242.095099,1.3
VG-017,6,3812134242.095099,324031410.578083,1055965958.313803,1379997368.891886,2756168283.781296,1.3
VG-017,7,2756168283.781296,234274304.12141,1145723064.770476,1379997368.891886,1610445219.01082,1.3
VG-017,8,1610445219.01082,136887843.61592,1243109525.275967,1379997368.891886,367335693.734854,1.3
VG-017,9,367335693.734854,31223533.967463,367335693.734854,398559227.702316,0,4.501204
VG-017,10,0,0,0,0,0,NaN
VG-018,1,7297900178.269956,620321515.152946,642776592.624546,1263098107.777493,6655123585.64541,1.3
VG-018,2,6655123585.64541,565685504.77986,697412602.997633,1263098107.777493,5957710982.647777,1.3
VG-018,3,5957710982.647777,506405433.525061,756692674.252431,1263098107.777493,5201018308.395346,1.3
VG-018,4,5201018308.395346,442086556.213604,821011551.563888,1263098107.777493,4380006756.831457,1.3
VG-018,5,4380006756.831457,372300574.330674,890797533.446819,1263098107.777493,3489209223.384639,1.3
VG-018,6,3489209223.384639,296582783.987694,966515323.789798,1263098107.777493,2522693899.594841,1.3
VG-018,7,2522693899.594841,214428981.465561,1048669126.311931,1263098107.777493,1474024773.282909,1.3
VG-018,8,1474024773.282909,125292105.729047,1137806002.048445,1263098107.777493,336218771.234464,1.3
VG-018,9,336218771.234464,28578595.554929,336218771.234464,364797366.789394,0,4.501204
VG-018,10,0,0,0,0,0,NaN
VG-019,1,7070276753.610958,600973524.056931,622728221.76035,1223701745.817281,6447548531.850609,1.3
VG-019,2,6447548531.850609,548041625.207302,675660120.60998,1223701745.817281,5771888411.240629,1.3
VG-019,3,5771888411.240629,490610514.955454,733091230.861828,1223701745.817281,5038797180.378801,1.3
VG-019,4,5038797180.378801,428297760.332198,795403985.485083,1223701745.817281,4243393194.893718,1.3
VG-019,5,4243393194.893718,360688421.565966,863013324.251315,1223701745.817281,3380379870.642403,1.3
VG-019,6,3380379870.642403,287332289.004604,936369456.812677,1223701745.817281,2444010413.829726,1.3
VG-019,7,2444010413.829726,207740885.175527,1015960860.641755,1223701745.817281,1428049553.187972,1.3
VG-019,8,1428049553.187972,121384212.020978,1102317533.796304,1223701745.817281,325732019.391668,1.3
VG-019,9,325732019.391668,27687221.648292,325732019.391668,353419241.03996,0,4.501204
VG-019,10,0,0,0,0,0,NaN
VG-020,1,7368464825.186483,626319510.140851,648991709.602963,1275311219.743814,6719473115.58352,1.3
VG-020,2,6719473115.58352,571155214.824599,704156004.919215,1275311219.743814,6015317110.664305,1.3
