project_id,dscr_cap_debt_vnd,llcr_cap_debt_vnd,leverage_cap_debt_vnd,actual_initial_debt_vnd,minimum_dscr,headroom_to_covenant,binding_cap,circularity_status
VG-001,11193786149.081652,9857000160,19337500000,9857000160,1.476303,0.276303,LLCR,CLOSED_FORM
VG-002,13108890538.16765,11543398668.799999,20718750000,11543398668.799999,1.476303,0.276303,LLCR,CLOSED_FORM
VG-003,9141954282.41711,8050202462.72,15193750000,8050202462.72,1.476303,0.276303,LLCR,CLOSED_FORM
VG-004,11799748561.617966,10390597239.466667,20028125000,10390597239.466667,1.476303,0.276303,LLCR,CLOSED_FORM
VG-005,12866114464.156549,11329615435.093328,16575000000,11329615435.093328,1.476303,0.276303,LLCR,CLOSED_FORM
VG-006,11118548251.721729,9790747333.973333,16575000000,9790747333.973333,1.476303,0.276303,LLCR,CLOSED_FORM
VG-007,12662858368.090866,11150632618.666666,17956250000,11150632618.666666,1.476303,0.276303,LLCR,CLOSED_FORM
VG-008,11839167571.682085,10425308746.666666,17956250000,10425308746.666666,1.476303,0.276303,LLCR,CLOSED_FORM
VG-009,12468703365.370678,10979664023.466665,17956250000,10979664023.466665,1.476303,0.276303,LLCR,CLOSED_FORM
VG-010,12675180903.087751,11161483570.062218,17956250000,11161483570.062218,1.476303,0.276303,LLCR,CLOSED_FORM
VG-011,11984037728.06996,10552878197.759998,16575000000,10552878197.759998,1.476303,0.276303,LLCR,CLOSED_FORM
VG-012,10677041481.436445,9401966250.666668,15884375000,9401966250.666668,1.476303,0.276303,LLCR,CLOSED_FORM
VG-013,9627952914.043859,8478162093.706667,14503125000,8478162093.706667,1.476303,0.276303,LLCR,CLOSED_FORM
VG-014,11176887204.859297,9842119323.999998,17265625000,9842119323.999998,1.476303,0.276303,LLCR,CLOSED_FORM
VG-015,10866225105.70174,9568557160.106667,16575000000,9568557160.106667,1.476303,0.276303,LLCR,CLOSED_FORM
VG-016,9591310281.054369,8445895402.666668,13812500000,8445895402.666668,1.476303,0.276303,LLCR,CLOSED_FORM
VG-017,10299486387.120186,9069499596.799999,16575000000,9069499596.799999,1.476303,0.276303,LLCR,CLOSED_FORM
VG-018,9435974463.727539,8309110122.346665,15884375000,8309110122.346665,1.476303,0.276303,LLCR,CLOSED_FORM
VG-019,9130545079.357841,8040155771.199999,14503125000,8040155771.199999,1.476303,0.276303,LLCR,CLOSED_FORM
VG-020,9507946967.489021,8372487515.093332,14503125000,8372487515.093332,1.476303,0.276303,LLCR,CLOSED_FORM
