project_id,project_name,p50_y1_kwh,p90_y1_kwh,specific_yield_p50_kwh_kwp,specific_yield_p90_kwh_kwp,p90_p50_ratio,self_consumption_ratio,total_uncertainty_pct,degradation_pct,source_chain,methodology_version,hourly_profile_hash,tariff_version,billing_status,tariff_schedule_hash,tariff_schedule_status
VG-001,Northern Electronics One,1848000.0,1658528.256,1320.0,1184.6630400000001,0.897472,1.0,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,58eef4df18925b50fdb66f7ff10ac0bbc3fe632794de2f2d856668381fe67416,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-002,Bac Ninh Precision,1980000.0,1802370.24,1320.0,1201.58016,0.910288,1.0000000000000002,0.07,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,e1e91a2cc24ddc53c3dcd3f56181df1fe8e83cddae1cdf4700912e4628752465,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-003,Hanoi Cold Chain,1452000.0,1303129.344,1320.0,1184.6630400000001,0.897472,1.0,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,bb8de511b708ab51403edf1a90743a778c3e43bd453db9e84753d5b8ccf8c7ce,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-004,Quang Ninh Cement,1914000.0,1693231.584,1320.0,1167.74592,0.884656,1.0,0.09,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,87935c46479e4d87434a0a247bf5d697fbe5d1bc2b8e9458bda1f4ccac8183e0,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-005,Da Nang Food Hub,1776000.0,1616671.488,1480.0,1347.22624,0.910288,1.0000000000000002,0.07,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,ea672612e50f44b78eba694cf705a3c4d6318cd43e50c89bdc33e3b038bfdf46,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-006,Hue Garments,1776000.0,1571149.056,1480.0,1309.29088,0.8846560000000001,1.0000000000000002,0.09,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,daee663b5ed3a49dd8af39ba99207dcc002d2b689e862f1cf8e898561065e161,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-007,Quang Ngai Packaging,1924000.0,1726736.128,1480.0,1328.25856,0.897472,1.0000000000000002,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,6ee67da0b1f0782596c153a4694f50db8b9b141ce6f2c5349eb516fc2fc67e98,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-008,Nha Trang Hospitality,1846000.0,1656733.3120000002,1420.0,1274.4102400000002,0.897472,1.0000000000000002,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,528fdc8f543beca179aa99d25097f476f91de64f36a580c7574a22e52075e616,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-009,Binh Duong Auto Parts,1846000.0,1656733.3120000002,1420.0,1274.4102400000002,0.897472,1.0000000000000002,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,cd9db32c719e05677e041e7763422b74048db7043a9a5affde2d4f466c1327c3,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-010,Dong Nai Pharma,1846000.0,1680391.648,1420.0,1292.60896,0.910288,1.0000000000000002,0.07,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,7d561778a3a92a14e0baac84141909b61c590b4a7b0ca751527b7b63e03d5c40,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-011,Ho Chi Minh Plastics,1704000.0,1540211.52,1420.0,1283.5096,0.90388,1.0000000000000002,0.075,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,061ddb52bd6ee3f379935d9a09eb50b953253d9ea1df7b84bb2f1a7777c4bad7,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-012,Long An Beverage,1633000.0,1465571.776,1420.0,1274.4102400000002,0.897472,1.0,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,d7f85aa071fbff1a0a2da730d8310d6044609547b58f05834e92a860c8853bf4,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-013,Can Tho Rice Processing,1491000.0,1328576.4239999999,1420.0,1265.31088,0.891064,1.0,0.085,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,67ed35ad63e5a6fd277fa51d140bf1f4a4d9ec36a33d187d77a3ec6391a85078,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-014,Vung Tau Chemicals,1775000.0,1593012.8,1420.0,1274.41024,0.897472,1.0000000000000002,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,bad14b14e9137fcef373194b0957dc78e82f28cbfc66bc83355a2a4c43de6a0c,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-015,Tay Ninh Components,1704000.0,1529292.2880000002,1420.0,1274.4102400000002,0.897472,1.0000000000000002,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,2f2ee2ef6f1d911cee0ac62602383d148bf1fc94dc1a3d8819707ce05b7c0686,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-016,Binh Phuoc Rubber,1420000.0,1256211.52,1420.0,1256.21152,0.884656,1.0,0.09,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,8b6d80b3441b164efd5f1d6a86f2f7b034055f5fe29aaf4408ccfad178023f20,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-017,Hai Duong Steel,1584000.0,1401295.104,1320.0,1167.74592,0.884656,1.0,0.09,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,9ff6b68d6b82f5047acb4f9d0025259c220950f408669958d3278ab02267a102,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-018,Thai Nguyen Machinery,1518000.0,1362362.496,1320.0,1184.6630400000001,0.897472,1.0,0.08,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,2958f8cdc19dc8a90e20ebab21c5d2d9bfa388241afac20412971ab25deff7b1,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-019,Hanoi Retail DC,1386000.0,1208370.24,1320.0,1150.8288,0.87184,1.0,0.1,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,8142e5027de4226413bff5906ec8314a08ab3cb6ba98e83a447f30c7e054d03f,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
VG-020,Soc Trang Seafood,1491000.0,1319022.096,1420.0,1256.2115199999998,0.8846559999999999,1.0,0.09,0.005,SRC-SOLAR-GSA > ASM-DEG > PROFILE-8760,ENERGY-1.1-8760,e8e8d48e1da77dda531e92c304ce01b59d973f6866fb926afc81c813b38ccb0f,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,WATCH,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS
