project_id,archetype_id,archetype_name,region,p50_y1_kwh,p75_y1_kwh,p90_y1_kwh,p99_y1_kwh,p90_p50_ratio,p99_p50_ratio,uncertainty_sigma_pct,uncertainty_component_count,self_consumption_kwh_p50,self_consumption_kwh_p90,self_consumption_ratio_p50,self_consumption_ratio_p90,excess_kwh_p50,effective_daytime_share,profile_hour_count,profile_hash_p50,profile_hash_p90
VG-001,ARCH-01,continuous_process,North,1848000.0,1748283.392908503,1658535.6375660014,1504072.397059551,0.8974759943538968,0.8138919897508393,0.080000004405683,4,1848000.0,1658535.6375660014,1.0,1.0,0.0,0.75,8760,88b9965c2f2bee3d845bfa20bc129a905a2b846748ea239c1bae9c56bd77ad66,2842b9d9b5156f95b751afc6c762e5d24e2d076a23f3c643f762e559a02ba40b
VG-002,ARCH-02,electronics_day_shift,North,1980000.0,1886515.680024663,1802377.1586466916,1657567.869390762,0.9102914942660059,0.8371554895912939,0.07000000447426485,4,1979999.9999999998,1802377.1586466916,1.0,1.0,0.0,0.738,8760,04a096240d528ba46cdff1a6ccf5c41478119b824b49546f66b23b8b3c01bd9a,f22c14b8e37f89359d75b7e756b2548f4682ef1aabd3d4bb7e6622ad7453e357
VG-003,ARCH-03,cold_chain_24x7,North,1452000.0,1373651.2372852524,1303135.1438018584,1181771.1691182186,0.897475994353897,0.8138919897508392,0.080000004405683,4,1451999.9999999998,1303135.1438018584,1.0,1.0,0.0,0.507,8760,40e820a58b2072688081ef24ccf6cd8f34934a7bb0f786677efe043db2dbcfff,be5d664d6a1193ef5dde44b5e6e4731589dfca9410705db743f1ea1d4d53b0f2
VG-004,ARCH-04,food_day_extended,North,1914000.0,1797812.355528808,1693240.2025648179,1513262.9591016069,0.8846605029074284,0.7906285052777465,0.08999999773131885,4,1914000.0000000002,1693240.2025648179,1.0,1.0,0.0,0.68,8760,aac839a7bf468cac85dd5d46fb50ea12f498ce97098593ff11a3beafd80dfdaa,5d7398eb0448a60f2dda238ed0ccfc29d55fcfeb5c0efd98201f4f6840fef8fa
VG-005,ARCH-05,textile_weekday,Central,1776000.0,1692147.3978403036,1616677.6938164262,1486788.149514138,0.9102914942660058,0.8371554895912939,0.07000000447426485,4,1775698.1145618747,1616677.6938164262,0.9998300194605151,1.0,301.8854381251034,0.132,8760,3ba049c6a796e3971551c8e3c8eba10704743759a280bd1ffac993698b4636fd,d9b43671deb4e70115074ae8e1d5bc7d7b32525012f1b52c4f7f047ce0ac56c4
VG-006,ARCH-06,hospitality_evening,Central,1776000.0,1668189.5211176402,1571157.0531635927,1404156.2253732777,0.8846605029074284,0.7906285052777464,0.08999999773131885,4,1776000.0000000002,1571157.0531635927,1.0,1.0,0.0,0.22799999999999998,8760,10d59b84911302b9d471ef9c8bf0b5e803b95cc32988ccaecd4a2081afa1b3af,4dc37316b8673263fa7a4c7f63168b234a48c16e06485078cfdb48d337c50b04
VG-007,ARCH-07,pharma_stable,Central,1924000.0,1820182.4934826621,1726743.8131368975,1565928.1882806146,0.8974759943538968,0.8138919897508392,0.080000004405683,4,1924000.0,1726743.8131368975,1.0,1.0,0.0,0.8,8760,e6543f5c7612e39beda86f7d3976a53dbfe4c19411ff66ff0a20ab7cc27a49f0,62556826fce66111e12fdca506c1cc5d8fb80109ed3b37698606e5e01256f73b
VG-008,ARCH-08,automotive_two_shift,South,1846000.0,1746391.3113144464,1656740.6855772936,1502444.6130800494,0.8974759943538969,0.8138919897508393,0.080000004405683,4,1845999.9999999998,1656740.6855772936,1.0,1.0,0.0,0.595,8760,a870de1d0ec27b9a212c4078a3bcc9c28414900ebbbb120bcaf63f6074407f4d,d99afe46c456b8e89280d976a44f5fc5003c49119412a17487abeabce25606fd
VG-009,ARCH-09,agribusiness_seasonal,South,1846000.0,1746391.3113144464,1656740.6855772936,1502444.6130800494,0.8974759943538969,0.8138919897508393,0.080000004405683,4,1846000.0000000002,1656740.6855772936,1.0,1.0,0.0,0.13319999999999999,8760,1b4798cf46ba44d60163cd9da6c84b287a38c245f6cfc65e9a5ec72a1106f134,50be7f5a1c1ea6ef0453a19558594e448a81052d3273975aa43d6dffc60af15a
VG-010,ARCH-10,plastics_mixed_shift,South,1846000.0,1758842.3966290546,1680398.0984150467,1545389.0337855285,0.9102914942660058,0.8371554895912939,0.07000000447426485,4,1845999.9999999998,1680398.0984150467,1.0,1.0,0.0,0.63,8760,8ac1893373b67a465d3c2d1a6cca5800062cdf0d24a79b2db9883f8fc158f66e,58c86bf2f75fc6bf32bb068cc9f81908c1f30f50bfbdd5c5a8d11205a6d112df
VG-011,ARCH-01,continuous_process,South,1704000.0,1617800.1804892314,1540217.9147296092,1406692.4785854833,0.9038837527755922,0.8255237550384291,0.0749999978341913,4,1704000.0,1540217.9147296092,1.0,1.0,0.0,0.86,8760,7e0a2114bcf07bad30534fd55daab85019df7e19420cfd97b381d693af7bc615,0a7e6b96c0a88f9b0daaa98baaa738542e803cfef55f0d16be7330cf95211490
VG-012,ARCH-02,electronics_day_shift,South,1633000.0,1544884.6215473951,1465578.2987799137,1329085.619263121,0.8974759943538969,0.8138919897508395,0.080000004405683,4,1633000.0,1465578.2987799137,1.0,1.0,0.0,0.7200000000000001,8760,1612a25a2d406fc03605489de8c024554a4b0af4fd3d6f63cca8b2562d5ba9a6,ac3b5e41bce06507a2c453b883a4ae8e43587ab096827735e66e2f7b4071fa1a
VG-013,ARCH-03,cold_chain_24x7,South,1491000.0,1405518.5098826468,1328582.76081203,1196170.0328626006,0.891068250041603,0.8022602500755203,0.08499999996753706,4,1491000.0000000002,1328582.76081203,1.0,1.0,0.0,0.5135000000000001,8760,cd4110db9014427e0319f64e639e1945ba9d870691cb143aa33a73f8a359214f,34bb91c3e031df24fc239a5e6a01c0063d9acd9745a38f2aadeb52e345eb5c0d
VG-014,ARCH-04,food_day_extended,South,1775000.0,1679222.4147254291,1593019.889978167,1444658.2818077398,0.8974759943538968,0.8138919897508393,0.080000004405683,4,1775000.0,1593019.889978167,1.0,1.0,0.0,0.77,8760,929771d32af5e418fe13a0f7c1c2a43a1dbc6f5efa231a35b64ff86bc88d0e05,0b110ed51acbed629543dbe2c1df018e7f9321da3ef3f7b40eaa74c20e7e1cd0
VG-015,ARCH-05,textile_weekday,South,1704000.0,1612053.5181364124,1529299.0943790406,1386871.95053543,0.8974759943538971,0.8138919897508393,0.080000004405683,4,1686268.2404134346,1525565.1713965784,0.9895940378013114,0.997558408949442,17731.759586565284,0.11699999999999999,8760,497b4522676406d5459c0bcc991e72e19cb7241689ae93d4ceb8caa733db06d7,254ded9d4f1118d7b92cf8e367475190f028f17fb15e3e7d6ce78e2ad00f451e
VG-016,ARCH-06,hospitality_evening,South,1420000.0,1333800.1801728876,1256217.9141285482,1122692.4774944,0.8846605029074284,0.7906285052777465,0.08999999773131885,4,1420000.0,1256217.9141285482,1.0,1.0,0.0,0.222,8760,21186fe79d8755aba64a95f2b547bfe3eedeeaafc149bd52de41c7f1854862fd,be4c6057cffba8694a81a68241578f1ba4f4edd5d160e21e499483c6aef1c0f2
VG-017,ARCH-07,pharma_stable,North,1584000.0,1487844.7080238408,1401302.2366053662,1252355.5523599503,0.8846605029074281,0.7906285052777464,0.08999999773131885,4,1584000.0,1401302.2366053662,1.0,1.0,0.0,0.72,8760,812491aae3aafd57ddb7c690edf67277875013c38a4c4c6c1f692f91913a1cf6,3f6624fb3de99c8b9ab8b2f2ccdbd8cc2bf722d2c95a21517a63847f77205f64
VG-018,ARCH-08,automotive_two_shift,North,1518000.0,1436089.9298891276,1362368.5594292155,1235488.040441774,0.8974759943538969,0.8138919897508393,0.080000004405683,4,1518000.0,1362368.5594292155,1.0,1.0,0.0,0.6545,8760,a5803cec037e2ee6ef34b4f33679c86201fe1ea9d3aba842ba8623e291c2c693,d0fd7ebccd832f29f90af4eaa42fa27973a3f6cd763d146bdb636fec487535aa
VG-019,ARCH-09,agribusiness_seasonal,North,1386000.0,1292515.6881849742,1208377.1741515128,1063567.8975360864,0.8718450029953195,0.7673650054372918,0.09999999766273697,4,1385999.9999999998,1208377.1741515128,1.0,1.0,0.0,0.1314,8760,3b65e515908c8a50a64c5af24255cf85950a6d3133f499dbd749810fea1d7ded,6417a0e3766bbd192bbd7d1e404fa242159a7a39cea949254f4bf2bd7b8ebf32
VG-020,ARCH-10,plastics_mixed_shift,South,1491000.0,1400490.1891815322,1319028.8098349757,1178827.10136912,0.8846605029074284,0.7906285052777464,0.08999999773131885,4,1490999.9999999998,1319028.8098349757,1.0,1.0,0.0,0.585,8760,8596c76ad86c2fdef68bc3266ad993aef0bc915e2fa1ec4efc5ec7fe20c5057b,938d29dc7930f1856c94532fe107821aa0042fff720fe80dbed744bffde1bc83
