project_id,scope,annual_load_kwh,solar_kwh_p50,self_consumption_kwh,excess_kwh,self_consumption_ratio,solar_share_of_load,avoided_grid_cost_vnd,weighted_avoided_tariff_vnd_kwh,aggregation_bias,hourly_profile_hash,pvout_double_count_check,legal_peak_hours,legal_normal_hours,legal_low_hours,current_billed_peak_reference_hours,tariff_schedule_hash,tariff_schedule_status,billing_rate_status
VG-001,final_8760,15000000.0,1848000.0,1848000.0,0.0,1.0,0.1232,5267894844.124187,2850.592448119149,0.012,58eef4df18925b50fdb66f7ff10ac0bbc3fe632794de2f2d856668381fe67416,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-002,final_8760,17000000.0,1980000.0000000002,1980000.0000000002,0.0,1.0,0.11647058823529413,5644173047.275916,2850.592448119149,0.012,e1e91a2cc24ddc53c3dcd3f56181df1fe8e83cddae1cdf4700912e4628752465,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-003,final_8760,19000000.0,1452000.0,1452000.0,0.0,1.0,0.07642105263157895,4139060234.6690044,2850.592448119149,0.012,bb8de511b708ab51403edf1a90743a778c3e43bd453db9e84753d5b8ccf8c7ce,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-004,final_8760,30000000.0,1914000.0,1914000.0,0.0,1.0,0.0638,5456033945.700051,2850.592448119149,0.012,87935c46479e4d87434a0a247bf5d697fbe5d1bc2b8e9458bda1f4ccac8183e0,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-005,final_8760,16000000.0,1776000.0000000002,1776000.0000000002,0.0,1.0,0.11100000000000002,5062652187.859609,2850.5924481191487,0.012,ea672612e50f44b78eba694cf705a3c4d6318cd43e50c89bdc33e3b038bfdf46,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-006,final_8760,25000000.0,1776000.0000000002,1776000.0000000002,0.0,1.0,0.07104,5062652187.859609,2850.5924481191487,0.012,daee663b5ed3a49dd8af39ba99207dcc002d2b689e862f1cf8e898561065e161,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-007,final_8760,18000000.0,1924000.0000000002,1924000.0000000002,0.0,1.0,0.10688888888888891,5484539870.181243,2850.5924481191487,0.012,6ee67da0b1f0782596c153a4694f50db8b9b141ce6f2c5349eb516fc2fc67e98,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-008,final_8760,21000000.0,1846000.0000000002,1846000.0000000002,0.0,1.0,0.08790476190476192,5262193659.227949,2850.5924481191487,0.012,528fdc8f543beca179aa99d25097f476f91de64f36a580c7574a22e52075e616,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-009,final_8760,27000000.0,1846000.0000000002,1846000.0000000002,0.0,1.0,0.06837037037037037,5262193659.227949,2850.5924481191487,0.012,cd9db32c719e05677e041e7763422b74048db7043a9a5affde2d4f466c1327c3,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-010,final_8760,22000000.0,1846000.0000000002,1846000.0000000002,0.0,1.0,0.08390909090909092,5262193659.227949,2850.5924481191487,0.012,7d561778a3a92a14e0baac84141909b61c590b4a7b0ca751527b7b63e03d5c40,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
