year,opening,interest,principal,debt_service,closing,dscr
1,172412340178.5056,14655048915.172977,10096121406.240337,24751170321.413315,162316218772.2653,1.3
2,162316218772.2653,13796878595.642551,13893639942.928028,27690518538.57058,148422578829.33725,1.3
3,148422578829.33725,12615919200.493668,15143772427.06506,27759691627.558727,133278806402.27219,1.3
4,133278806402.27219,11328698544.193136,16499449360.144232,27828147904.337368,116779357042.12796,1.3
5,116779357042.12796,9926245348.580877,16838251546.984438,26764496895.565315,99941105495.14352,1.3
6,99941105495.14352,8494993967.0872,19467816577.663193,27962810544.750393,80473288917.48033,1.3
7,80473288917.48033,6840229557.985828,21188736235.67915,28028965793.664978,59284552681.80118,1.3
8,59284552681.80118,5039186977.9531,23055115000.398506,28094301978.35161,36229437681.40267,1.3
9,36229437681.40267,3079502202.919227,25079289910.868923,28158792113.78815,11150147770.533749,1.3
10,11150147770.533749,947762560.4953687,11150147770.533749,12097910331.029118,0.0,2.911110661508247
