year,portfolio_cfads_vnd,pooled_debt_service_vnd,portfolio_dscr,terminal_value_vnd,terminal_branch,pooled_feedback_iterations,pooled_feedback_converged
1,28536027671.69694,21950790516.689953,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
2,31924637654.851444,24557413580.654957,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
3,32003552202.354073,24618117078.733902,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
4,32081623156.46684,24678171658.820644,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
5,30840534619.95742,23723488169.198013,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
6,32235118207.195534,24796244774.765793,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
7,32310482660.75786,24854217431.3522,1.3,0.0,ZERO_RESIDUAL_NO_SALE,2,True
8,32384884208.51183,24911449391.16294,1.3000000000000003,0.0,ZERO_RESIDUAL_NO_SALE,2,True
9,32458291364.876625,24967916434.520485,1.2999999999999998,0.0,ZERO_RESIDUAL_NO_SALE,2,True
10,31212384916.99682,10714906430.827457,2.9129871659165247,0.0,ZERO_RESIDUAL_NO_SALE,2,True
11,32601993095.82321,0.0,,0.0,ZERO_RESIDUAL_NO_SALE,2,True
12,32672221191.354546,0.0,,0.0,ZERO_RESIDUAL_NO_SALE,2,True
13,32741321908.330677,0.0,,0.0,ZERO_RESIDUAL_NO_SALE,2,True
14,32809260166.075203,0.0,,0.0,ZERO_RESIDUAL_NO_SALE,2,True
15,36439262851.84145,0.0,,0.0,ZERO_RESIDUAL_NO_SALE,2,True
