dimension,dimension_value,selected_project_count,selected_capacity_mwp,selected_equity_bvnd,equity_share
industry,Agribusiness,1,1.05,11.263983633507822,0.08153840313217384
industry,Automotive,0,0.0,0.0,0.0
industry,Chemicals,1,1.25,13.57433530599595,0.09826271596658118
industry,Electronics,1,1.2,12.95224302316824,0.09375947688234401
industry,Food & Beverage,2,2.3499999999999996,23.793482482322524,0.17223769402421896
industry,Hospitality,1,1.3,13.29572678768,0.09624590784419322
industry,Logistics,1,1.1,12.782013549471463,0.09252720951558623
industry,Machinery,0,0.0,0.0,0.0
industry,Materials,0,0.0,0.0,0.0
industry,Packaging,1,1.3,13.208277469192712,0.09561287445063973
industry,Pharma,1,1.3,13.517323949611075,0.09785001872630879
industry,Plastics,1,1.2,12.319292058465242,0.08917763331775255
industry,Retail,1,1.05,11.436616198398825,0.08278806614020151
industry,Rubber,0,0.0,0.0,0.0
industry,Steel,0,0.0,0.0,0.0
industry,Textile,0,0.0,0.0,0.0
parent_group_id,PG-01,1,1.2,12.95224302316824,0.09375947688234401
parent_group_id,PG-02,1,1.1,12.782013549471463,0.09252720951558623
parent_group_id,PG-03,0,0.0,0.0,0.0
parent_group_id,PG-04,2,2.3499999999999996,23.793482482322524,0.17223769402421896
parent_group_id,PG-05,0,0.0,0.0,0.0
parent_group_id,PG-06,1,1.3,13.208277469192712,0.09561287445063973
parent_group_id,PG-07,1,1.3,13.29572678768,0.09624590784419322
parent_group_id,PG-08,0,0.0,0.0,0.0
parent_group_id,PG-09,1,1.3,13.517323949611075,0.09785001872630879
parent_group_id,PG-10,1,1.2,12.319292058465242,0.08917763331775255
parent_group_id,PG-11,1,1.05,11.263983633507822,0.08153840313217384
parent_group_id,PG-12,1,1.25,13.57433530599595,0.09826271596658118
parent_group_id,PG-13,0,0.0,0.0,0.0
parent_group_id,PG-14,0,0.0,0.0,0.0
parent_group_id,PG-15,0,0.0,0.0,0.0
parent_group_id,PG-16,1,1.05,11.436616198398825,0.08278806614020151
parent_group_id,PG-17,0,0.0,0.0,0.0
region,Central,2,2.5,24.74083822293909,0.17909546981662897
region,North,2,2.1500000000000004,24.21862974787029,0.17531527565578772
region,South,7,8.45,89.18382648700447,0.6455892545275832
