project_id,optimizer_case,selected_flag,rejection_reason,equity_required_vnd,debt_vnd,cfads_y1_vnd,equity_npv_vnd,parent_equity_share_of_budget,industry_equity_share_of_budget,region_equity_share_of_budget,portfolio_debt_share_of_debt_budget,selected_count,selected_equity_required_vnd,selected_debt_vnd,selected_cfads_y1_vnd,exposure_constraints_status
VG-001,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,8695825833.333334,16149390833.333334,3218486693.3322005,207605829.7567833,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-002,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,9316956250.0,17302918750.0,3520507558.9028964,659484372.0999775,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-003,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,6832434583.333334,12688807083.333334,2551480074.702309,300477297.6528483,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-004,NEGOTIATED_EXPOSURE_BASE,False,ppa_zone_empty|positive_equity_npv_gate,9006391041.666668,16726154791.666668,3229469444.1794863,-414921824.6865656,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-005,NEGOTIATED_EXPOSURE_BASE,True,,7453565000.0,13842335000.0,3053418087.940763,1989346696.591745,0.1459656479166667,0.1459656479166667,0.07453565,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-006,NEGOTIATED_EXPOSURE_BASE,False,credit_gate,7453565000.0,13842335000.0,2942803460.820949,1301763064.0835173,0.0,0.0,0.07453565,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-007,NEGOTIATED_EXPOSURE_BASE,False,site_continuity_gate,8074695416.666668,14995862916.666668,3228087909.9532886,1659200388.6994622,0.0,0.0,0.07453565,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-008,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,8074695416.666668,14995862916.666668,3058954348.309457,619105123.0776739,0.0,0.0,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-009,NEGOTIATED_EXPOSURE_BASE,False,regulatory_gate,8074695416.666668,14995862916.666668,3097381493.5149317,851945953.5576799,0.0,0.0,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-010,NEGOTIATED_EXPOSURE_BASE,True,,8074695416.666668,14995862916.666668,3193449356.528631,1443886166.6232185,0.08074695416666668,0.08074695416666668,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-011,NEGOTIATED_EXPOSURE_BASE,True,,7453565000.0,13842335000.0,2965535011.5058823,1443063022.3210607,0.07453565,0.07453565,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-012,NEGOTIATED_EXPOSURE_BASE,True,,7142999791.666668,13265571041.666668,2790981186.939712,1065980957.1026962,0.1459656479166667,0.1459656479166667,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-013,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,6521869375.0,12112043125.0,2540527843.2868233,925054763.5498844,0.0,0.0,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-014,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,7764130208.333334,14419098958.333334,3005963319.633695,987092861.9401104,0.0,0.0,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-015,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,7453565000.0,13842335000.0,2878167102.0111594,901815019.2599704,0.0,0.0,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-016,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,6211304166.666668,11535279166.666668,2382601148.8576393,655343041.1982114,0.0,0.0,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-017,NEGOTIATED_EXPOSURE_BASE,False,technical_gate,7453565000.0,13842335000.0,2733972951.231907,28102292.533221304,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-018,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,7142999791.666668,13265571041.666668,2659556603.3780675,266268024.47716892,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-019,NEGOTIATED_EXPOSURE_BASE,False,exposure_constraint,6521869375.0,12112043125.0,2399439228.2183313,68294461.41692045,0.0,0.0,0.0,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
VG-020,NEGOTIATED_EXPOSURE_BASE,False,regulatory_gate,6521869375.0,12112043125.0,2532768515.8895607,876822566.2668679,0.0,0.1459656479166667,0.22671260208333335,0.34966314973958335,4,30124825208.333336,55946103958.333336,12003383642.91499,PASS
