project_id,equity_required_vnd,discount_rate,equity_npv_vnd,project_npv_vnd,equity_cashflow_year1_vnd,terminal_value_vnd,terminal_branch,return_status
VG-001,16525432161.764944,0.14,-9672364336.222435,-10527650509.940983,627267961.3340998,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-002,17062282880.861872,0.14,-9414645294.881697,-10369016349.372593,699370852.4695854,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-003,12782013549.471458,0.14,-7301582713.021869,-7985533938.755909,501432781.17105746,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-004,16281120491.550354,0.14,-8787707934.211016,-9722807402.78452,685069062.2021585,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-005,11532560753.746376,0.14,-4410773905.851399,-5299269401.080376,649308404.6310949,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-006,12522103811.239794,0.14,-5869403794.845039,-6699478867.625069,607333241.6216114,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-007,13208277469.19271,0.14,-5831793317.834425,-6752137577.008247,673102042.8435035,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-008,13295726787.679996,0.14,-5960697450.657899,-6875878896.46022,669392553.5284352,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-009,12919429720.249863,0.14,-5406019060.932651,-6343416249.121414,685354598.4599419,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-010,13517323949.611073,0.14,-6287341391.273876,-7189440233.226402,659992682.6243258,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-011,12319292058.46524,0.14,-5570450371.650394,-6412498999.481899,615936259.2654471,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-012,12260921728.57614,0.14,-6008940223.48665,-6789045228.914383,570974545.4237316,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-013,11263983633.507818,0.14,-5588470283.500528,-6296652944.100294,518387977.96790886,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-014,13574335305.995947,0.14,-6895908911.75451,-7729252253.0287895,610136623.8089538,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-015,12952243023.168238,0.14,-6503447868.213896,-7308128478.082558,589087281.1242456,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-016,11921999947.88372,0.14,-9444186190.980318,-10507321870.522345,527195844.96918607,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-017,13151140960.290213,0.14,-6796632155.394064,-7589570273.187321,580650282.582623,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-018,13433496821.197134,0.14,-7737367363.907317,-8448246142.395969,521235395.33732486,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-019,11436616198.39882,0.14,-5842938259.458537,-6540929077.173847,511065123.2450428,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
VG-020,11333212645.27221,0.14,-5690516884.68716,-6394612418.322241,515451370.98371506,0.0,ZERO_RESIDUAL_NO_SALE,BELOW_HURDLE
