project_id,capex_uses_vnd,debt_sources_vnd,equity_sources_vnd,total_sources_vnd,sources_uses_balance_vnd
VG-001,29750000000.0,14482182168.868118,15267817831.131882,29750000000.0,0.0
VG-002,31875000000.0,16160161044.81641,15714838955.18359,31875000000.0,0.0
VG-003,23375000000.0,11581111996.025946,11793888003.974054,23375000000.0,0.0
VG-004,30812500000.0,15833908636.60532,14978591363.39468,30812500000.0,0.0
VG-005,25500000000.0,15045394386.79625,10454605613.20375,25500000000.0,0.0
VG-006,25500000000.0,14055851329.30283,11444148670.69717,25500000000.0,0.0
VG-007,27625000000.0,15584507266.395132,12040492733.604868,27625000000.0,0.0
VG-008,27625000000.0,15497057947.90785,12127942052.09215,27625000000.0,0.0
VG-009,27625000000.0,15873355015.337984,11751644984.662016,27625000000.0,0.0
VG-010,27625000000.0,15275460785.976774,12349539214.023226,27625000000.0,0.0
VG-011,25500000000.0,14258663082.077385,11241336917.922615,25500000000.0,0.0
VG-012,24437500000.0,13209618614.443878,11227881385.556122,24437500000.0,0.0
VG-013,22312500000.0,11991727114.466978,10320772885.533022,22312500000.0,0.0
VG-014,26562500000.0,14111034632.069286,12451465367.930714,26562500000.0,0.0
VG-015,25500000000.0,13625712117.374388,11874287882.625612,25500000000.0,0.0
VG-016,21250000000.0,10231537407.322617,11018462592.677383,21250000000.0,0.0
VG-017,25500000000.0,13426814180.25241,12073185819.74759,25500000000.0,0.0
VG-018,24437500000.0,12037043521.822882,12400456478.177118,24437500000.0,0.0
VG-019,22312500000.0,11819094549.575975,10493405450.424025,22312500000.0,0.0
VG-020,22312500000.0,11922498102.702587,10390001897.297413,22312500000.0,0.0
