project_id,country,observed_capacity_kwp,observed_generation_kwh,observed_source_id,overlay_generation_input,overlay_self_consumption_ratio,overlay_annual_load_kwh,overlay_project_cost_local,input_view_status
EU-GY-ALTAREA-BOLLENE-ROOF,France,9600,12000000,GY-EU-ALTAREA,12000000,,,,READY_FOR_CI_REBUILD
EU-GY-ALTAREA-PUCEUL,France,3000,3000000,GY-EU-ALTAREA,3000000,,,,READY_FOR_CI_REBUILD
EU-GY-FRUEHAUF-AUXERRE,France,11000,12700000,GY-EU-FRUEHAUF,12700000,,,,READY_FOR_CI_REBUILD
EU-GY-PANATTONI-MOISSY,France,1300,1321000,GY-EU-PANATTONI,1321000,,,,READY_FOR_CI_REBUILD
EU-GY-SAFRAN-EVRY,France,8600,8300000,GY-EU-SAFRAN,8300000,,,,READY_FOR_CI_REBUILD
EU-GY-STELLANTIS-CAEN,France,4000,2300000,GY-EU-STELLANTIS,2300000,,,,READY_FOR_CI_REBUILD
EU-GY-STELLANTIS-CHARLEVILLE,France,8000,4500000,GY-EU-STELLANTIS,4500000,,,,READY_FOR_CI_REBUILD
EU-GY-STELLANTIS-VALENCIENNES,France,6000,4600000,GY-EU-STELLANTIS,4600000,,,,READY_FOR_CI_REBUILD
EU-GY-GIVA-CELLA,Italy,3000,4050000,GY-EU-GIVA,4050000,,,,READY_FOR_CI_REBUILD
EU-GY-GIVA-VISANO,Italy,8000,10800000,GY-EU-GIVA,10800000,,,,READY_FOR_CI_REBUILD
EU-GY-SASOL-ITALY,Italy,5100,7610000,GY-EU-SASOL,7610000,,,,READY_FOR_CI_REBUILD
EU-GY-STELLANTIS-SLOVAKIA,Slovakia,13000,7000000,GY-EU-STELLANTIS,7000000,,,,READY_FOR_CI_REBUILD
IN-AZURE-GANDHINAGAR,India,2500,3625000,IFC-32148,3625000,,,,READY_FOR_CI_REBUILD
IN-CLEANMAX-TN-30MW,India,30000,43500000,IFC-38331,43500000,,,,READY_FOR_CI_REBUILD
IN-FPEL-ARISUDHANA,India,2090,30500000,FPEL-ARISUDHANA,30500000,,,,READY_FOR_CI_REBUILD
IN-CLEANTECH-EXIDE-HALDIA,India,2600,3770000,CLEANTECH-HALDIA,3770000,,,,READY_FOR_CI_REBUILD
VN-GY-GOMALL,Vietnam,9000,13000000,GY-VN-GOMALL,13000000,,,,READY_FOR_CI_REBUILD
VN-GY-LOTTEMART,Vietnam,2660,3059000,GY-VN-LOTTEMART,3059000,,,,READY_FOR_CI_REBUILD
EU-GY-PTP-CADIZ,Spain,1840,2400000,GY-EU-PTP,2400000,,,,READY_FOR_CI_REBUILD
EU-GY-CMC-ANDRYCHOW,Poland,653,685650,GY-EU-CMC,685650,,,,READY_FOR_CI_REBUILD
