candidate_project_id,identity_weight,location_weight,developer_weight,offtaker_weight,business_model_weight,installed_capacity_weight,generation_weight,commissioning_status_weight,ppa_existence_weight,ppa_tenor_weight,load_self_consumption_weight,project_cost_weight,financing_amount_weight,financing_structure_weight,official_source_redundancy_weight,total_score,evidence_grade,selection_disposition,scoring_note,candidate_coverage_grade,source_quality_grade,entity_granularity
VN-GY-TAL-TAV,8,5,5,7,5,10,10,7,2,0,6,0,0,5,1,71,ACCEPTABLE,RESEARCH_POOL,1.89 MWp; 2.016 GWh/year.,ACCEPTABLE,STRONG,ASSET_SITE
VN-GY-TAL-VGM,8,5,5,7,5,10,0,5,2,0,6,0,0,5,1,59,EXCLUDE,EXCLUDE_SCORE,2.5 MWp under construction.,EXCLUDE,STRONG,ASSET_SITE
VN-GY-GIAVICO,8,5,5,7,5,10,0,7,2,0,6,0,0,5,1,61,EXCLUDE,EXCLUDE_SCORE,2.6 MWp several factories.,EXCLUDE,STRONG,ASSET_SITE
VN-GY-DUYNHAT,8,5,5,7,5,10,0,7,2,0,6,0,0,5,1,61,EXCLUDE,EXCLUDE_SCORE,500 kWp extension.,EXCLUDE,STRONG,ASSET_SITE
VN-GY-GOMALL,8,3,5,7,5,10,10,7,8,8,6,0,0,5,1,83,STRONG,SELECTED_V5_1_OUTCOME_BLIND,100% self-consumption; PPA Dec 2020.,STRONG,STRONG,MULTISITE_PORTFOLIO
VN-GY-LOTTEMART,8,3,5,7,5,10,0,7,8,8,6,0,0,5,1,73,ACCEPTABLE,SELECTED_V5_1_OUTCOME_BLIND,"3,600 GWh claim flagged; not used.",ACCEPTABLE,STRONG,MULTISITE_PORTFOLIO
VN-IFC-KES-MDF,8,3,5,7,5,10,0,7,2,0,6,0,0,5,1,59,EXCLUDE,EXCLUDE_SCORE,6-7 MW aggregate.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
VN-IFC-FPE-40MW,8,3,5,3,5,10,0,3,2,0,2,0,0,5,1,47,EXCLUDE,EXCLUDE_SCORE,40 MWp four-country aggregate.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
VN-GY-189-PLATFORM,8,3,5,3,5,10,0,3,2,0,2,0,0,5,1,47,EXCLUDE,EXCLUDE_SCORE,Platform only.,EXCLUDE,STRONG,PLATFORM
VN-IFC-FPE-PORTFOLIO,8,3,5,3,5,0,0,3,2,0,2,0,0,5,1,37,EXCLUDE,EXCLUDE_SCORE,Retrieval lead.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
IN-FPEL-ARISUDHANA,8,5,5,7,5,10,10,7,2,0,6,0,0,5,1,71,ACCEPTABLE,SELECTED_V5_1_OUTCOME_BLIND,30.5m claim flagged outlier.,ACCEPTABLE,STRONG,ASSET_SITE
IN-FPEL-SOLARA-CUDDALORE,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,453 kWp OPEX.,ACCEPTABLE,STRONG,ASSET_SITE
IN-FPEL-SOLARA-MYSORE,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,169 kWp OPEX.,ACCEPTABLE,STRONG,ASSET_SITE
